source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
sgfn,hard_drop,5,0.31545820745216513,0.003776435045317217,0.001766201391425276,0.006081450839867292,0.0,-0.023722627737226276,-0.030035843762496968,-0.0180845180584311,0.0,0.3,1.0,0.7,2740
sgfn,hard_drop,10,0.40130916414904333,0.0037764350453172724,0.0007412715453944494,0.007003534980050415,0.0,-0.034854014598540144,-0.040588289559366185,-0.028863965453499837,0.0,0.36259124087591244,1.0,0.6374087591240876,5480
sgfn,hard_drop,20,0.49647532729103727,0.0052870090634440925,0.0023562536988054675,0.00845224013719495,0.0,-0.03220802919708029,-0.03693970531717096,-0.027957734087017096,0.0,0.3918795620437956,1.0,0.6081204379562044,10960
sgfn,hard_drop,50,0.7462235649546828,0.0060422960725075026,0.00278633173141212,0.009786638362580499,0.0,-0.03846715328467153,-0.04224772628135223,-0.03496353400550935,0.0,0.3806934306569343,1.0,0.6193065693430657,27400
sgfn,hard_drop,100,0.9269889224572004,0.0035246727089627283,0.0005368685244258153,0.006502216908223778,0.0,-0.06297445255474453,-0.06727149725274725,-0.05929541949742745,0.0,0.40424599769993247,1.0,0.5957540023000676,54781
sgfn,mlp__identity,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.03338469440164355,0.28941605839416057,1.0,0.7105839416058394,2740
sgfn,mlp__identity,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0,0.05299860529986053,0.3458029197080292,1.0,0.6541970802919708,5480
sgfn,mlp__identity,20,0.4919436052366566,0.0007552870090634101,-0.0005353606253044304,0.0023009149957719088,0.029562043795620437,-0.0026459854014598515,-0.004273525513585158,-0.00134131328659093,0.04726477024070022,0.37454379562043794,1.0,0.6254562043795621,10960
sgfn,mlp__identity,50,0.7457200402819738,0.0055387713997985255,0.003236854847631895,0.0080564443036077,0.025766423357664235,-0.012700729927007298,-0.015073159033654152,-0.010587344028520497,0.04040982199072749,0.36237226277372264,1.0,0.6376277372262774,27400
sgfn,mlp__identity,100,0.9287512588116817,0.005287009063444037,0.002799694578773268,0.007923625428197783,0.035036496350364967,-0.027937956204379562,-0.03057610165794066,-0.025411528059499665,0.056338028169014086,0.3781021897810219,1.0,0.621897810218978,54800
sgfn,source,5,0.3116817724068479,,,,0.023722627737226276,,,,0.03340184994861254,0.28978102189781024,1.0,0.7102189781021898,2740
sgfn,source,10,0.39753272910372606,,,,0.034854014598540144,,,,0.05332216638749302,0.34635036496350363,1.0,0.6536496350364963,5480
sgfn,source,20,0.4911883182275932,,,,0.03220802919708029,,,,0.05179750550256786,0.3781934306569343,1.0,0.6218065693430657,10960
sgfn,source,50,0.7401812688821753,,,,0.03846715328467153,,,,0.06063046479521399,0.36554744525547445,1.0,0.6344525547445256,27400
sgfn,source,100,0.9234642497482377,,,,0.06297445255474453,,,,0.10047749374017353,0.37324817518248177,1.0,0.6267518248175182,54800
sgfn,linear__identity,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.03340184994861254,0.28978102189781024,1.0,0.7102189781021898,2740
sgfn,linear__identity,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0,0.05299860529986053,0.3458029197080292,1.0,0.6541970802919708,5480
sgfn,linear__identity,20,0.4914400805639476,0.000251762336354433,-0.0007466680347211097,0.0014174595754733177,0.029744525547445257,-0.002463503649635032,-0.004309576295122734,-0.001119350871341617,0.0477725674091442,0.37737226277372266,1.0,0.6226277372262774,10960
sgfn,linear__identity,50,0.7449647532729103,0.00478348439073506,0.002895992407991957,0.006898038877055641,0.026313868613138686,-0.012153284671532847,-0.014383255813953489,-0.01012485037619699,0.041534650613514607,0.3664598540145985,1.0,0.6335401459854014,27400
sgfn,linear__identity,100,0.9302618328298087,0.006797583081570968,0.004214879907113211,0.009804255762845054,0.03501824817518248,-0.027956204379562047,-0.030499385487062627,-0.025436254152823922,0.056509320062428224,0.3803102189781022,1.0,0.6196897810218978,54800
sgfn,positive_density,5,0.3114300100704935,-0.000251762336354433,-0.0009316194203877636,0.0,0.023722627737226276,0.0,0.0,0.0,0.03350515463917526,0.291970802919708,1.0,0.708029197080292,2740
sgfn,positive_density,10,0.3942598187311178,-0.00327291037260824,-0.005757708459817937,-0.0012142060965655184,0.03576642335766423,0.0009124087591240865,0.0001865584785569311,0.001757858754315772,0.05527354765933446,0.3529197080291971,1.0,0.647080291970803,5480
sgfn,positive_density,20,0.4851460221550856,-0.006042296072507558,-0.011314600285491486,-0.0013101698507521076,0.03312043795620438,0.0009124087591240934,9.612191650853596e-05,0.0016606703567035685,0.0545536519386835,0.3928832116788321,1.0,0.6071167883211679,10960
sgfn,positive_density,50,0.7386706948640483,-0.0015105740181269312,-0.012630249617481465,0.007037256326022414,0.04010948905109489,0.001642335766423357,0.00033937383371345604,0.0027681945712064375,0.06447260354335328,0.3778832116788321,1.0,0.6221167883211679,27400
sgfn,positive_density,100,0.918429003021148,-0.0050352467270896595,-0.013132670913379035,0.0018626349393035086,0.06191605839416058,-0.0010583941605839461,-0.002320560309855882,0.0001918554099334083,0.0987571673894694,0.37304744525547445,1.0,0.6269525547445255,54800
