source,method,k,kendall_tau_context_mean,kendall_tau_pair_weighted,jaccard_context_mean,jaccard_micro,intersection,union
vlsat,mlp__temperature_0p5,10,0.8380204666040356,0.8361243729923449,0.9873921698739218,0.9862268938021022,5442,5518
vlsat,mlp__temperature_0p5,20,0.8380204666040356,0.8361243729923449,0.9899990520428478,0.9894717734616083,10902,11018
vlsat,mlp__temperature_0p5,50,0.8380204666040356,0.8361243729923449,0.9810086430631689,0.9804842790025298,27130,27670
vlsat,mlp__temperature_0p5,100,0.8380204666040356,0.8361243729923449,0.9663452799156559,0.9655314646437474,53839,55761
vlsat,mlp__temperature_2,5,0.8124011839302459,0.8104291700738206,0.989224887035106,0.9869470630891951,2722,2758
vlsat,mlp__temperature_2,10,0.8124011839302459,0.8104291700738206,0.9860650298606501,0.9847881202462876,5438,5522
vlsat,mlp__temperature_2,20,0.8124011839302459,0.8104291700738206,0.9801045775339651,0.9790538100397256,10844,11076
vlsat,mlp__temperature_2,50,0.8124011839302459,0.8104291700738206,0.9733620483007368,0.97264218862491,27020,27780
vlsat,mlp__temperature_2,100,0.8124011839302459,0.8104291700738206,0.9542611078474587,0.9530623518719817,53483,56117
vlsat,mlp__context_family_percentile,5,0.8741884855515487,0.8731050179224562,0.9190563086548489,0.9014573213046495,2598,2882
vlsat,mlp__context_family_percentile,10,0.8741884855515487,0.8731050179224562,0.8847946457435508,0.8731840710989575,5109,5851
vlsat,mlp__context_family_percentile,20,0.8741884855515487,0.8731050179224562,0.8621783273322469,0.8554257660402912,10106,11814
vlsat,mlp__context_family_percentile,50,0.8741884855515487,0.8731050179224562,0.8817832058396073,0.8794800562472134,25643,29157
vlsat,mlp__context_family_percentile,100,0.8741884855515487,0.8731050179224562,0.8984766436003128,0.8970142795326699,51825,57775
open3dsg,linear__identity,5,1.0,1.0,1.0,1.0,2665,2665
open3dsg,linear__identity,10,1.0,1.0,1.0,1.0,5330,5330
open3dsg,linear__identity,20,1.0,1.0,1.0,1.0,10660,10660
open3dsg,linear__identity,50,1.0,1.0,1.0,1.0,26636,26636
open3dsg,linear__identity,100,1.0,1.0,1.0,1.0,52452,52452
open3dsg,linear__power_0p5,5,0.9621732974536987,0.9633094627311124,0.9086070559610705,0.8900709219858156,2510,2820
open3dsg,linear__power_0p5,10,0.9621732974536987,0.9633094627311124,0.9159769670718577,0.9056131569538791,5066,5594
open3dsg,linear__power_0p5,20,0.9621732974536987,0.9633094627311124,0.90892813945813,0.9011949349028001,10106,11214
open3dsg,linear__power_0p5,50,0.9621732974536987,0.9633094627311124,0.9380119259016956,0.9349121022809821,25740,27532
open3dsg,linear__power_0p5,100,0.9621732974536987,0.9633094627311124,0.9551830821888855,0.9525014889815366,51176,53728
open3dsg,linear__power_2,5,0.9644819806632695,0.965132577889333,0.9286583246437261,0.9131371141421393,2544,2786
open3dsg,linear__power_2,10,0.9644819806632695,0.965132577889333,0.937394722066255,0.929062613101701,5134,5526
open3dsg,linear__power_2,20,0.9644819806632695,0.965132577889333,0.9302488318832338,0.924187725631769,10240,11080
open3dsg,linear__power_2,50,0.9644819806632695,0.965132577889333,0.9456369941989499,0.9428154631655725,25852,27420
open3dsg,linear__power_2,100,0.9644819806632695,0.965132577889333,0.9611865479361368,0.9588818553582432,51351,53553
open3dsg,linear__power_4,5,0.9312562620645105,0.9324035895963275,0.8742251766886804,0.8442906574394463,2440,2890
open3dsg,linear__power_4,10,0.9312562620645105,0.9324035895963275,0.8865277058707716,0.8711602597858522,4963,5697
open3dsg,linear__power_4,20,0.9312562620645105,0.9324035895963275,0.8749350682229133,0.8647773987579813,9887,11433
open3dsg,linear__power_4,50,0.9312562620645105,0.9324035895963275,0.909258192123354,0.9044078218281915,25299,27973
open3dsg,linear__power_4,100,0.9312562620645105,0.9324035895963275,0.9306364647481727,0.9262578038927654,50444,54460
open3dsg,linear__temperature_0p5,5,0.9800307126122454,0.981239374323598,0.9133863399374349,0.896122376378513,2519,2811
open3dsg,linear__temperature_0p5,10,0.9800307126122454,0.981239374323598,0.9200817430744439,0.910051962013976,5079,5581
open3dsg,linear__temperature_0p5,20,0.9800307126122454,0.981239374323598,0.9173316263763741,0.9102230982886839,10159,11161
open3dsg,linear__temperature_0p5,50,0.9800307126122454,0.981239374323598,0.9518843882399467,0.9493559718969555,25944,27328
open3dsg,linear__temperature_0p5,100,0.9800307126122454,0.981239374323598,0.9732743175016331,0.9716943896250353,51699,53205
open3dsg,linear__temperature_2,5,0.9859667327261883,0.9863118319390007,0.9823600973236011,0.9784706755753526,2636,2694
open3dsg,linear__temperature_2,10,0.9859667327261883,0.9863118319390007,0.9858991373589914,0.9839940442955518,5287,5373
open3dsg,linear__temperature_2,20,0.9859667327261883,0.9863118319390007,0.9826345240499478,0.9812285103614906,10559,10761
open3dsg,linear__temperature_2,50,0.9859667327261883,0.9863118319390007,0.984811219084573,0.9840595903165735,26422,26850
open3dsg,linear__temperature_2,100,0.9859667327261883,0.9863118319390007,0.9847669708901196,0.9839249579212134,52027,52877
open3dsg,linear__context_family_percentile,5,0.8500433452442792,0.8516878184165111,0.6458767813694821,0.592946802151823,1984,3346
