source,condition,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
sgfn,pair_weight_0.5,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,pair_weight_0.5,20,0.4914400805639476,0.4580002671226353,0.5237852549981908,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,pair_weight_0.5,50,0.7449647532729103,0.706175686352367,0.7821749956441864,0.026204379562043797,0.023559709677419355,0.02909521601599126
sgfn,pair_weight_0.5,100,0.9302618328298087,0.8942633038452954,0.9611274530285598,0.034744525547445254,0.031910872712101725,0.037849704528275956
sgfn,proximity_2.0,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,proximity_2.0,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,proximity_2.0,20,0.4916918429003021,0.4583320664072002,0.5239847473879146,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,proximity_2.0,50,0.7469788519637462,0.708045428458171,0.7838556180994398,0.026313868613138686,0.023722467449201024,0.029200334349077362
sgfn,proximity_2.0,100,0.932527693856999,0.896352652995043,0.9635222165314165,0.03498175182481752,0.032227753329907065,0.03810227184503707
sgfn,proximity_3.0,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,proximity_3.0,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,proximity_3.0,20,0.4914400805639476,0.4580002671226353,0.5237852549981908,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,proximity_3.0,50,0.743705941591138,0.7047003385683396,0.7806143845330483,0.02635036496350365,0.023749547101449275,0.029237594167936348
sgfn,proximity_3.0,100,0.9277442094662638,0.8917741761055501,0.9585811478108197,0.035054744525547445,0.03232315088440618,0.03819393406802204
sgfn,vertical_0.20m,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,vertical_0.20m,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,vertical_0.20m,20,0.4916918429003021,0.4582816537878519,0.5238630493728907,0.029744525547445257,0.025738110274471704,0.03413301491885887
sgfn,vertical_0.20m,50,0.7449647532729103,0.706175686352367,0.7821749956441864,0.0258029197080292,0.023213928571428573,0.028592089146476263
sgfn,vertical_0.20m,100,0.9307653575025177,0.8949524512103327,0.9618131131356789,0.03344890510948905,0.03073500121101597,0.036526412357057524
sgfn,vertical_0.30m,5,0.3116817724068479,0.2842448412228072,0.3371213838818087,0.023722627737226276,0.017374063273654216,0.030040431266846357
sgfn,vertical_0.30m,10,0.39753272910372606,0.36549737571564006,0.4292757268213505,0.03467153284671533,0.028770312187312387,0.04107910751962796
sgfn,vertical_0.30m,20,0.4911883182275932,0.457585768418911,0.5235091214600925,0.029835766423357665,0.025864977329674264,0.034263443291609484
sgfn,vertical_0.30m,50,0.7447129909365559,0.7057421731873142,0.7813404382720541,0.027445255474452555,0.02474933118081181,0.030292381226114815
sgfn,vertical_0.30m,100,0.9300100704934542,0.893805549318616,0.9609218944119635,0.03700729927007299,0.03420269472568442,0.04022373531230674
