source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
vlsat,mlp__identity,50,0.9272406847935549,0.0,-0.0010153514137722169,0.001012466145964297,0.01886861313868613,-0.007883211678832117,-0.009839914907678961,-0.006200525882836831,0.025962938783709134,0.27324817518248173,1.0,0.7267518248175182,27400
vlsat,mlp__identity,100,0.9650050352467271,0.0015105740181269312,-0.0007785033547205777,0.0039439053061912305,0.029635036496350364,-0.01801094890510949,-0.01991022282844865,-0.01632376829954955,0.04530112415966973,0.34582116788321166,1.0,0.6541788321167883,54800
vlsat,mlp__power_2,5,0.4199395770392749,0.000503524672708977,-0.0005108556832694733,0.0018180603225927204,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,mlp__power_2,10,0.6339375629405841,0.0017623363544814197,0.0006918990293844629,0.003193456102507214,0.0062043795620437955,-0.002007299270072993,-0.003461678832116788,-0.0007447071677420688,0.007237122179650915,0.1427007299270073,1.0,0.8572992700729927,5480
vlsat,mlp__power_2,20,0.8089123867069486,0.0015105740181269312,0.0002661521517677401,0.0029941991954061634,0.01177007299270073,-0.0024635036496350356,-0.003641279314808681,-0.0014618684689866744,0.01449763991908294,0.18813868613138687,1.0,0.8118613138686132,10960
vlsat,mlp__power_2,50,0.9272406847935549,0.0,-0.0007716846495255086,0.0007384573895858587,0.020985401459854013,-0.005766423357664235,-0.007057326448206242,-0.004541686506942011,0.02890609290166901,0.274014598540146,1.0,0.725985401459854,27400
vlsat,mlp__power_2,100,0.9645015105740181,0.001007049345417954,-0.00028658461204631445,0.0027826427319746407,0.03381386861313869,-0.013832116788321164,-0.015309199628967074,-0.012461706605031427,0.051800290730180026,0.34722627737226275,1.0,0.6527737226277373,54800
vlsat,mlp__temperature_0p5,5,0.4209466263846928,0.0015105740181268756,-0.0007493779165265224,0.0036911781978628652,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,mlp__temperature_0p5,10,0.6344410876132931,0.0022658610271903967,0.0005101910794898523,0.0040665298377415005,0.0062043795620437955,-0.002007299270072993,-0.003461678832116788,-0.0007447071677420688,0.007238662976367894,0.1428832116788321,1.0,0.8571167883211679,5480
vlsat,mlp__temperature_0p5,20,0.8089123867069486,0.0015105740181269312,0.0002661521517677401,0.0029941991954061634,0.011861313868613138,-0.0023722627737226276,-0.0035584173574168022,-0.001415027715595352,0.014610024724657226,0.18813868613138687,1.0,0.8118613138686132,10960
vlsat,mlp__temperature_0p5,50,0.9272406847935549,0.0,-0.0007716846495255086,0.0007384573895858587,0.020802919708029197,-0.005948905109489051,-0.0073357987059767035,-0.004714229618548988,0.02864897466827503,0.27386861313868616,1.0,0.7261313868613138,27400
vlsat,mlp__temperature_0p5,100,0.9655085599194361,0.002014098690835908,-0.00028658461204631445,0.005650555129767662,0.03177007299270073,-0.015875912408759123,-0.017446630267351947,-0.014374511718750003,0.04857565358109428,0.34596715328467154,1.0,0.6540328467153285,54800
vlsat,linear__temperature_0p5,5,0.4211983887210473,0.0017623363544813642,-0.0002322566367017012,0.003824589963284747,0.0021897810218978104,-0.0007299270072992697,-0.0018150473224704873,0.0,0.0025466893039049238,0.14014598540145987,1.0,0.8598540145985402,2740
vlsat,linear__temperature_0p5,10,0.6336858006042296,0.0015105740181269312,0.0,0.0033471983754150133,0.006569343065693431,-0.001642335766423358,-0.0031662381964700646,-0.00048688912727480724,0.0076677316293929714,0.14324817518248176,1.0,0.8567518248175182,5480
vlsat,linear__temperature_0p5,20,0.8079053373615307,0.000503524672708977,-0.0004900374625962739,0.0016208301526358909,0.012408759124087591,-0.0018248175182481747,-0.0030389548717843972,-0.0009208103130755076,0.015292927021252671,0.1885948905109489,1.0,0.8114051094890511,10960
vlsat,linear__temperature_0p5,50,0.9274924471299094,0.0002517623363544885,-0.0005466536807277933,0.0010535817054121487,0.021532846715328468,-0.00521897810218978,-0.006586338193776755,-0.0040491562764565555,0.029700478228039263,0.275,1.0,0.725,27400
vlsat,linear__temperature_0p5,100,0.9655085599194361,0.002014098690835908,0.0,0.005238451207460064,0.03282846715328467,-0.014817518248175184,-0.01626149346516435,-0.013408959790209793,0.05022614327991513,0.3463868613138686,1.0,0.6536131386861314,54800
