source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
sgfn,point,source,50,0.7401812688821753,0.563543599257885,0.14046121593291405,0.1292793582291434,0.1522745610820535,0.9608325872873769,0.10932525817221835,,,,13404,9662,1408,1809,525
sgfn,point,source,100,0.9234642497482377,0.8854359925788498,0.24445261328699372,0.23609597064404658,0.2535828128933674,0.9595946639302206,0.1159270151049325,,,,31184,19140,3469,7315,1260
sgfn,point,relcompat3d,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,0.0,0.0,0.0,59,54,0,0,5
sgfn,point,relcompat3d,10,0.39753272910372606,0.03525046382189239,0.015250544662309368,0.004792538062573197,0.027571188609822425,0.9463917525773196,0.08061002178649238,-0.01531714092721028,-0.02845774699675848,-0.00458065674846887,485,415,37,7,26
sgfn,point,relcompat3d,20,0.4919436052366566,0.14981447124304267,0.04607445632141541,0.03777929944349129,0.0558934975812281,0.9623980134799575,0.0936232952451161,-0.020715211575263556,-0.02862750947693891,-0.013592821790285783,2819,2334,254,125,106
sgfn,point,relcompat3d,50,0.7457200402819738,0.5737476808905381,0.10089964324492012,0.09198319559795538,0.1105757368057967,0.9619516562220233,0.10966340933767643,-0.03956157268799393,-0.044983489378923255,-0.034469366560332775,13404,10179,1414,1301,510
sgfn,point,relcompat3d,100,0.9287512588116817,0.8951762523191095,0.1888777888777889,0.181557471942449,0.19684263576181718,0.9629938429964084,0.12231102231102231,-0.05557482440920483,-0.060026355395400924,-0.051132264994842455,31184,20685,3673,5672,1154
sgfn,mesh,source,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,,,,59,54,0,0,5
sgfn,mesh,source,10,0.39753272910372606,0.03525046382189239,0.03023758099352052,0.013155034324942791,0.050109980219549294,0.954639175257732,0.06479481641468683,,,,485,419,30,14,22
sgfn,mesh,source,20,0.4911883182275932,0.14842300556586271,0.0689908256880734,0.05679730592531424,0.08348638457619986,0.9666548421426038,0.08770642201834862,,,,2819,2298,239,188,94
sgfn,mesh,source,50,0.7401812688821753,0.563543599257885,0.1361309339125039,0.12570743661556605,0.14779676213626972,0.9618024470307371,0.11045609680421967,,,,13404,9713,1424,1755,512
sgfn,mesh,source,100,0.9234642497482377,0.8854359925788498,0.24326579658867117,0.23485072280512223,0.2517906443656567,0.9607170343766034,0.12066490870856837,,,,31184,19056,3615,7288,1225
sgfn,mesh,relcompat3d,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,0.0,0.0,0.0,59,54,0,0,5
sgfn,mesh,relcompat3d,10,0.39753272910372606,0.03525046382189239,0.017204301075268817,0.006185248822705867,0.031179678109700674,0.9587628865979382,0.06451612903225806,-0.013033279918251702,-0.02535447296695733,-0.003855293446582353,485,427,30,8,20
sgfn,mesh,relcompat3d,20,0.4919436052366566,0.14981447124304267,0.049174311926605506,0.039388530661435474,0.05987226599892531,0.9666548421426038,0.0836697247706422,-0.01981651376146789,-0.027342879423504118,-0.013555913037525765,2819,2363,228,134,94
