source,family,method,k,selected,recall,recall_numerator,recall_denominator,violation,violation_numerator,violation_denominator
vlsat,relative_vertical,source,100,14266,0.9743589743589743,380,390,0.10002803869339688,1427,14266
vlsat,relative_vertical,identity_family_slots,5,159,0.14358974358974358,56,390,0.025157232704402517,4,159
vlsat,relative_vertical,identity_family_slots,10,496,0.2564102564102564,100,390,0.038306451612903226,19,496
vlsat,relative_vertical,identity_family_slots,20,1592,0.5487179487179488,214,390,0.029522613065326633,47,1592
vlsat,relative_vertical,identity_family_slots,50,6152,0.9102564102564102,355,390,0.045513654096228866,280,6152
vlsat,relative_vertical,identity_family_slots,100,14266,0.9743589743589743,380,390,0.10002803869339688,1427,14266
vlsat,relative_vertical,linear_family_slots,5,159,0.14615384615384616,57,390,0.0,0,159
vlsat,relative_vertical,linear_family_slots,10,496,0.26666666666666666,104,390,0.010080645161290322,5,496
vlsat,relative_vertical,linear_family_slots,20,1592,0.5512820512820513,215,390,0.010050251256281407,16,1592
vlsat,relative_vertical,linear_family_slots,50,6152,0.9076923076923077,354,390,0.016092327698309494,99,6152
vlsat,relative_vertical,linear_family_slots,100,14266,0.9794871794871794,382,390,0.03911397728865835,558,14266
vlsat,relative_vertical,linear_pv_global,5,158,0.14102564102564102,55,390,0.0,0,158
vlsat,relative_vertical,linear_pv_global,10,489,0.26153846153846155,102,390,0.0081799591002045,4,489
vlsat,relative_vertical,linear_pv_global,20,1599,0.5538461538461539,216,390,0.008130081300813009,13,1599
vlsat,relative_vertical,linear_pv_global,50,6256,0.9076923076923077,354,390,0.015025575447570333,94,6256
vlsat,relative_vertical,linear_pv_global,100,14683,0.9794871794871794,382,390,0.03800313287475312,558,14683
vlsat,relative_vertical,linear_support_order_only,5,156,0.14102564102564102,55,390,0.0,0,156
vlsat,relative_vertical,linear_support_order_only,10,482,0.258974358974359,101,390,0.008298755186721992,4,482
vlsat,relative_vertical,linear_support_order_only,20,1573,0.5512820512820513,215,390,0.007628734901462174,12,1573
vlsat,relative_vertical,linear_support_order_only,50,6100,0.9076923076923077,354,390,0.013934426229508197,85,6100
vlsat,relative_vertical,linear_support_order_only,100,13802,0.9743589743589743,380,390,0.03274887697435154,452,13802
vlsat,relative_vertical,linear_all_families,5,174,0.14871794871794872,58,390,0.0,0,174
vlsat,relative_vertical,linear_all_families,10,510,0.2641025641025641,103,390,0.00784313725490196,4,510
vlsat,relative_vertical,linear_all_families,20,1687,0.558974358974359,218,390,0.007113218731475993,12,1687
vlsat,relative_vertical,linear_all_families,50,6729,0.9102564102564102,355,390,0.015455491157675732,104,6729
vlsat,relative_vertical,linear_all_families,100,16004,0.9794871794871794,382,390,0.041302174456385905,661,16004
vlsat,relative_vertical,mlp_family_slots,5,159,0.14615384615384616,57,390,0.0,0,159
vlsat,relative_vertical,mlp_family_slots,10,496,0.26666666666666666,104,390,0.004032258064516129,2,496
vlsat,relative_vertical,mlp_family_slots,20,1592,0.558974358974359,218,390,0.006909547738693468,11,1592
vlsat,relative_vertical,mlp_family_slots,50,6152,0.9076923076923077,354,390,0.01235370611183355,76,6152
vlsat,relative_vertical,mlp_family_slots,100,14266,0.9717948717948718,379,390,0.03904388055516613,557,14266
vlsat,relative_vertical,mlp_pv_global,5,170,0.16153846153846155,63,390,0.0,0,170
vlsat,relative_vertical,mlp_pv_global,10,507,0.2743589743589744,107,390,0.0019723865877712033,1,507
vlsat,relative_vertical,mlp_pv_global,20,1614,0.5615384615384615,219,390,0.004337050805452293,7,1614
vlsat,relative_vertical,mlp_pv_global,50,6290,0.9128205128205128,356,390,0.011128775834658187,70,6290
vlsat,relative_vertical,mlp_pv_global,100,14539,0.9743589743589743,380,390,0.037416603617855426,544,14539
vlsat,relative_vertical,mlp_support_order_only,5,169,0.16153846153846155,63,390,0.0,0,169
vlsat,relative_vertical,mlp_support_order_only,10,499,0.2743589743589744,107,390,0.0,0,499
vlsat,relative_vertical,mlp_support_order_only,20,1582,0.5615384615384615,219,390,0.0037926675094816687,6,1582
vlsat,relative_vertical,mlp_support_order_only,50,6068,0.9102564102564102,355,390,0.00972313777191826,59,6068
vlsat,relative_vertical,mlp_support_order_only,100,13569,0.9692307692307692,378,390,0.032132065738079446,436,13569
vlsat,relative_vertical,mlp_all_families,5,189,0.16666666666666666,65,390,0.0,0,189
vlsat,relative_vertical,mlp_all_families,10,528,0.2743589743589744,107,390,0.0,0,528
vlsat,relative_vertical,mlp_all_families,20,1702,0.5692307692307692,222,390,0.004112808460634548,7,1702
vlsat,relative_vertical,mlp_all_families,50,6757,0.9128205128205128,356,390,0.013171525825070297,89,6757
vlsat,relative_vertical,mlp_all_families,100,15874,0.9743589743589743,380,390,0.04088446516315988,649,15874
open3dsg,support_contact,source,5,482,0.06938325991189427,126,1816,0.05186721991701245,25,482
open3dsg,support_contact,source,10,1713,0.177863436123348,323,1816,0.07238762405137186,124,1713
open3dsg,support_contact,source,20,4111,0.29900881057268724,543,1816,0.0812454390659207,334,4111
open3dsg,support_contact,source,50,13833,0.6156387665198237,1118,1816,0.06462806332682715,894,13833
open3dsg,support_contact,source,100,27162,0.7125550660792952,1294,1816,0.046535601207569395,1264,27162
open3dsg,support_contact,identity_family_slots,5,482,0.06938325991189427,126,1816,0.05186721991701245,25,482
open3dsg,support_contact,identity_family_slots,10,1713,0.177863436123348,323,1816,0.07238762405137186,124,1713
open3dsg,support_contact,identity_family_slots,20,4111,0.29900881057268724,543,1816,0.0812454390659207,334,4111
