source,method,k,recall,recall_delta,recall_delta_ci_low,recall_delta_ci_high,violation,violation_delta,violation_delta_ci_low,violation_delta_ci_high
open3dsg,mlp_all_families,100,0.6364551863041289,0.12537764350453173,0.10069432074479588,0.14707672006822947,0.04264851673911386,-0.08150308853809196,-0.08662015555558467,-0.07581274975011197
sgfn,source,5,0.3116817724068479,,,,0.023722627737226276,,,
sgfn,source,10,0.39753272910372606,,,,0.034854014598540144,,,
sgfn,source,20,0.4911883182275932,,,,0.03220802919708029,,,
sgfn,source,50,0.7401812688821753,,,,0.03846715328467153,,,
sgfn,source,100,0.9234642497482377,,,,0.06297445255474453,,,
sgfn,identity_family_slots,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,identity_family_slots,10,0.39753272910372606,0.0,0.0,0.0,0.034854014598540144,0.0,0.0,0.0
sgfn,identity_family_slots,20,0.4911883182275932,0.0,0.0,0.0,0.03220802919708029,0.0,0.0,0.0
sgfn,identity_family_slots,50,0.7401812688821753,0.0,0.0,0.0,0.03846715328467153,0.0,0.0,0.0
sgfn,identity_family_slots,100,0.9234642497482377,0.0,0.0,0.0,0.06297445255474453,0.0,0.0,0.0
sgfn,linear_family_slots,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,linear_family_slots,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0
sgfn,linear_family_slots,20,0.4914400805639476,0.000251762336354433,-0.0007466680347211097,0.0014174595754733177,0.029744525547445257,-0.002463503649635032,-0.004309576295122734,-0.001119350871341617
sgfn,linear_family_slots,50,0.7449647532729103,0.00478348439073506,0.002895992407991957,0.006898038877055641,0.026313868613138686,-0.012153284671532847,-0.014383255813953489,-0.01012485037619699
sgfn,linear_family_slots,100,0.9302618328298087,0.006797583081570968,0.004214879907113211,0.009804255762845054,0.03501824817518248,-0.027956204379562047,-0.030499385487062627,-0.025436254152823922
sgfn,linear_pv_global,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,linear_pv_global,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0
sgfn,linear_pv_global,20,0.4919436052366566,0.0007552870090634101,-0.000282544207309729,0.0020527149855419403,0.029744525547445257,-0.002463503649635032,-0.004309576295122734,-0.001119350871341617
sgfn,linear_pv_global,50,0.7467270896273918,0.00654582074521648,0.004344491294450498,0.00895564997199969,0.02605839416058394,-0.012408759124087593,-0.014715147981583326,-0.010335607191316147
sgfn,linear_pv_global,100,0.9327794561933535,0.009315206445115742,0.006380249442252919,0.012798474638343632,0.03394160583941606,-0.02903284671532847,-0.03184672897196261,-0.02630089073138131
sgfn,linear_support_order_only,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,linear_support_order_only,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0
sgfn,linear_support_order_only,20,0.4914400805639476,0.000251762336354433,-0.0007382436300533993,0.001403993869966108,0.029653284671532845,-0.0025547445255474435,-0.004364867339125806,-0.0012173872333496177
sgfn,linear_support_order_only,50,0.7444612286002014,0.004279959718026083,0.002395925203999183,0.006257599822473953,0.026094890510948904,-0.01237226277372263,-0.014742164418754011,-0.010366156139875302
sgfn,linear_support_order_only,100,0.9287512588116817,0.005287009063444037,0.0032027543690531985,0.007506787531354604,0.032226277372262774,-0.030748175182481755,-0.03364546835577982,-0.028060054347826085
sgfn,linear_all_families,5,0.31067472306143,-0.0010070493454178986,-0.004715705388218699,0.002859625930278083,0.024817518248175182,0.0010948905109489059,-0.0015125029649169462,0.0039610238197732815
sgfn,linear_all_families,10,0.40558912386706947,0.00805639476334341,0.0038208710780776255,0.012934644067642415,0.03193430656934307,-0.0029197080291970753,-0.005433592000467354,-0.00017373884009581168
sgfn,linear_all_families,20,0.5118328298086606,0.02064451158106745,0.015687580254468356,0.02554603780299737,0.027554744525547445,-0.004653284671532844,-0.006869701086956522,-0.002787271968139776
sgfn,linear_all_families,50,0.770392749244713,0.030211480362537735,0.024305831142110924,0.03658270604029651,0.0258029197080292,-0.012664233576642335,-0.01495214182493807,-0.010508379534294314
sgfn,linear_all_families,100,0.9413393756294058,0.01787512588116813,0.013516063865245653,0.022462480441666807,0.03713503649635037,-0.02583941605839416,-0.028497988777258152,-0.023255409356725147
sgfn,mlp_family_slots,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,mlp_family_slots,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0
sgfn,mlp_family_slots,20,0.4919436052366566,0.0007552870090634101,-0.0005353606253044304,0.0023009149957719088,0.029562043795620437,-0.0026459854014598515,-0.004273525513585158,-0.00134131328659093
