source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
sgfn,point,source,50,0.7401812688821753,0.563543599257885,0.14046121593291405,0.1292793582291434,0.1522745610820535,0.9608325872873769,0.10932525817221835,,,,13404,9662,1408,1809,525
sgfn,point,source,100,0.9234642497482377,0.8854359925788498,0.24445261328699372,0.23609597064404658,0.2535828128933674,0.9595946639302206,0.1159270151049325,,,,31184,19140,3469,7315,1260
sgfn,point,relcompat3d,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,0.0,0.0,0.0,59,54,0,0,5
sgfn,point,relcompat3d,10,0.39753272910372606,0.03525046382189239,0.021834061135371178,0.008064110469267216,0.03807930467676927,0.9443298969072165,0.08078602620087336,-0.008733624454148471,-0.02088288458425511,0.002283631083896218,485,411,37,10,27
sgfn,point,relcompat3d,20,0.4914400805639476,0.14888682745825602,0.05171776874769117,0.04281953431656149,0.061360465107181766,0.9602695991486343,0.09789434798670114,-0.015071899148987794,-0.022579007691280493,-0.008892384899025947,2819,2302,265,140,112
sgfn,point,relcompat3d,50,0.7449647532729103,0.5723562152133581,0.10730912476722533,0.09806907502326617,0.11747450574390768,0.9615040286481648,0.1111887026691496,-0.03315209116568872,-0.0379673048419975,-0.02896133886075674,13404,10072,1433,1383,516
sgfn,point,relcompat3d,100,0.9302618328298087,0.8979591836734694,0.19052066308662152,0.183288539558992,0.19832048578348352,0.9614225243714726,0.12417864647610154,-0.0539319502003722,-0.05827577330472062,-0.04958897448598917,31184,20546,3723,5712,1203
sgfn,mesh,source,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,,,,59,54,0,0,5
sgfn,mesh,source,10,0.39753272910372606,0.03525046382189239,0.03023758099352052,0.013155034324942791,0.050109980219549294,0.954639175257732,0.06479481641468683,,,,485,419,30,14,22
sgfn,mesh,source,20,0.4911883182275932,0.14842300556586271,0.0689908256880734,0.05679730592531424,0.08348638457619986,0.9666548421426038,0.08770642201834862,,,,2819,2298,239,188,94
sgfn,mesh,source,50,0.7401812688821753,0.563543599257885,0.1361309339125039,0.12570743661556605,0.14779676213626972,0.9618024470307371,0.11045609680421967,,,,13404,9713,1424,1755,512
sgfn,mesh,source,100,0.9234642497482377,0.8854359925788498,0.24326579658867117,0.23485072280512223,0.2517906443656567,0.9607170343766034,0.12066490870856837,,,,31184,19056,3615,7288,1225
sgfn,mesh,relcompat3d,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.9152542372881356,0.0,0.0,0.0,0.0,59,54,0,0,5
sgfn,mesh,relcompat3d,10,0.39753272910372606,0.03525046382189239,0.01939655172413793,0.005973464264273629,0.037775573729117495,0.9567010309278351,0.0668103448275862,-0.010841029269382588,-0.02242916836526702,-0.0020324172562212446,485,424,31,9,21
sgfn,mesh,relcompat3d,20,0.4914400805639476,0.14888682745825602,0.05435181784796181,0.04496391822264001,0.06464042980573441,0.9659453706988294,0.08740359897172237,-0.014639007840111587,-0.021863014061295195,-0.008786615550416148,2819,2337,238,148,96
