source,method,k,recall,recall_ci95_low,recall_ci95_high,violation_all,violation_ci95_low,violation_ci95_high,selected
sgfn,hard_rule_filter,20,0.49647532729103727,0.473403094919349,0.5188552128266763,0.0,0.0,0.0,10960
sgfn,hard_rule_filter,50,0.7462235649546828,0.720001732332382,0.7704982328930775,0.0,0.0,0.0,27400
sgfn,hard_rule_filter,100,0.9269889224572004,0.9082092540299218,0.9444444444444444,0.0,0.0,0.0,54781
sgfn,family_product_continuity,5,0.311178247734139,0.2932295189332884,0.32950110051149095,0.024817518248175182,0.01897810218978102,0.031386861313868614,2740
sgfn,family_product_continuity,10,0.40634441087613293,0.3855182714742971,0.4281980187408416,0.032116788321167884,0.026824817518248174,0.03795620437956204,5480
sgfn,family_product_continuity,20,0.5123363544813696,0.48893602491839827,0.5356449368149814,0.027554744525547445,0.023996350364963503,0.031204379562043794,10960
sgfn,family_product_continuity,50,0.7701409869083585,0.744043388041105,0.7935784495319947,0.025875912408759125,0.023503649635036497,0.028357664233576642,27400
sgfn,family_product_continuity,100,0.9415911379657603,0.9235452237034166,0.9578997570883887,0.03762773722627737,0.03523722627737226,0.04031021897810219,54800
sgfn,compatibility_only_all_families,5,0.015357502517623363,0.0113893666230928,0.01946014913837798,0.013868613138686132,0.008394160583941606,0.020447080291970794,2740
sgfn,compatibility_only_all_families,10,0.04028197381671702,0.03356731084477797,0.04717505502441709,0.014781021897810219,0.010579379562043797,0.01970802919708029,5480
sgfn,compatibility_only_all_families,20,0.08862034239677745,0.07818130247569582,0.0989264973314904,0.012408759124087591,0.00958029197080292,0.015784671532846715,10960
sgfn,compatibility_only_all_families,50,0.3001007049345418,0.27997574720297863,0.31966227260639085,0.014306569343065694,0.01211587591240876,0.016496350364963504,27400
sgfn,compatibility_only_all_families,100,0.6130412890231621,0.5898037602604449,0.636224178909177,0.0197992700729927,0.01760857664233577,0.022191605839416054,54800
