source,method,k,violation_all,violation_decidable,uncertainty_rate,pessimistic_violation,decidable_coverage,status_coverage,selected,satisfied,uncertain,violated,other
open3dsg,compatibility_only_all_families,20,0.01425438596491228,0.018164881229622728,0.2152777777777778,0.22953216374269006,0.7847222222222222,1.0,10944,8432,2356,156,0
open3dsg,compatibility_only_all_families,50,0.018716380517279495,0.023266465146102408,0.19556407044432983,0.2142804509616093,0.8044359295556702,1.0,27142,21326,5308,508,0
open3dsg,compatibility_only_all_families,100,0.03218568519496191,0.04197300154909145,0.2331812353872841,0.26536692058224604,0.7668187646127159,1.0,53036,38962,12367,1707,0
sgfn,source_score,5,0.023722627737226276,0.03340184994861254,0.28978102189781024,0.3135036496350365,0.7102189781021898,1.0,2740,1881,794,65,0
sgfn,source_score,10,0.034854014598540144,0.05332216638749302,0.34635036496350363,0.3812043795620438,0.6536496350364963,1.0,5480,3391,1898,191,0
sgfn,source_score,20,0.03220802919708029,0.05179750550256786,0.3781934306569343,0.4104014598540146,0.6218065693430657,1.0,10960,6462,4145,353,0
sgfn,source_score,50,0.03846715328467153,0.06063046479521399,0.36554744525547445,0.404014598540146,0.6344525547445256,1.0,27400,16330,10016,1054,0
sgfn,source_score,100,0.06297445255474453,0.10047749374017353,0.37324817518248177,0.43622262773722625,0.6267518248175182,1.0,54800,30895,20454,3451,0
sgfn,all_family_product,5,0.024817518248175182,0.03474706182933061,0.2857664233576642,0.3105839416058394,0.7142335766423358,1.0,2740,1889,783,68,0
sgfn,all_family_product,10,0.03193430656934307,0.04763200870985302,0.32956204379562043,0.3614963503649635,0.6704379562043795,1.0,5480,3499,1806,175,0
sgfn,all_family_product,20,0.027554744525547445,0.04197359277275886,0.34352189781021897,0.3710766423357664,0.656478102189781,1.0,10960,6893,3765,302,0
sgfn,all_family_product,50,0.0258029197080292,0.03845735422106179,0.32905109489051093,0.35485401459854016,0.670948905109489,1.0,27400,17677,9016,707,0
