seed,estimator,source,k,recall,violation
20260718,linear,open3dsg,50,0.4418429003021148,0.03423937528157381
20260718,linear,open3dsg,100,0.5684793554884189,0.03239151986578205
20260718,linear,sgfn,5,0.3116817724068479,0.023722627737226276
20260718,linear,sgfn,10,0.39753272910372606,0.03467153284671533
20260718,linear,sgfn,20,0.4914400805639476,0.029744525547445257
20260718,linear,sgfn,50,0.7449647532729103,0.026313868613138686
20260718,linear,sgfn,100,0.9302618328298087,0.03501824817518248
20260718,mlp,vlsat,5,0.4201913393756294,0.00145985401459854
20260718,mlp,vlsat,10,0.6344410876132931,0.0051094890510948905
20260718,mlp,vlsat,20,0.8089123867069486,0.010857664233576642
20260718,mlp,vlsat,50,0.9269889224572004,0.018211678832116787
20260718,mlp,vlsat,100,0.9652567975830816,0.029014598540145986
20260718,mlp,open3dsg,5,0.03700906344410876,0.021388367729831145
20260718,mlp,open3dsg,10,0.11732124874118832,0.03227016885553471
20260718,mlp,open3dsg,20,0.24118831822759315,0.03649155722326454
20260718,mlp,open3dsg,50,0.45720040281973817,0.03761826100015017
20260718,mlp,open3dsg,100,0.5871097683786506,0.03549912300770228
20260718,mlp,sgfn,5,0.3116817724068479,0.023722627737226276
20260718,mlp,sgfn,10,0.39753272910372606,0.03467153284671533
20260718,mlp,sgfn,20,0.4921953675730111,0.02947080291970803
20260718,mlp,sgfn,50,0.7457200402819738,0.02562043795620438
20260718,mlp,sgfn,100,0.9297583081570997,0.033905109489051094
